																													536870912				536870912																
																																																	
																																																	
								1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1						805306368					805306368			
1048576	1048576	1048576	1048576	1048576																																1													
1048576	1048576	1048576	1048576	1048576																																	1												
1048576	1048576	1048576	1048576	1048576																																		1											
1048576	1048576	1048576	1048576	1048576																																			1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1																																													
																																																	
																																																	
																																																	
																																																	
								1	1	1	1	1																																					
1048576	1048576	1048576	1048576	1048576																																													
1048576	1048576	1048576	1048576	1048576																																													
1048576	1048576	1048576	1048576	1048576																																													
1048576	1048576	1048576	1048576	1048576																																													
1	1	1	1	1																																													
																																																	
																																																	
																																																	
																																																	
								1	1	1	1	1																																					
1048576	1048576	1048576	1048576	1048576																																													
1048576	1048576	1048576	1048576	1048576																																													
1048576	1048576	1048576	1048576	1048576																																													
1048576	1048576	1048576	1048576	1048576																																													
1	1	1	1	1																																													
																																																	
																																																	
																																																	
																																																	
								1	1	1	1	1																																					
1048576	1048576	1048576	1048576	1048576																																													
1048576	1048576	1048576	1048576	1048576																																													
1048576	1048576	1048576	1048576	1048576																																													
1048576	1048576	1048576	1048576	1048576																																													
1	1	1	1	1																																													
																																																	
																																																	
																																																	
																																																	
								1	1	1	1	1																																					
																																																	
																																																	
																																																	
																																																	
1	1	1	1	1																																													
																																																	
																																																	
																																																	
																																																	
								1	1	1	1	1																																					
																																																	
																																																	
																																																	
																																																	
1	1	1	1	1																																													
																																																	
																																																	
																																																	
																																																	
								1	1	1	1	1																																					
																																																	
																																																	
																																																	
						24576	24576																																										
1	1	1	1	1																																													
																																																	
						24576	24576																																										
																																																	
																																																	
						24576	24576	1	1	1	1	1																																					
																																																	
																																																	
						24576	24576																																										
																																																	
1	1	1	1	1																																													
						24576	24576																																										
																																																	
																																																	
						24576	24576																																										
								1	1	1	1	1																																					
																																																	
						24576	24576																																										
																																																	
																																																	
1	1	1	1	1		24576	24576																																										
