2,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,2
1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,512,,,,,,,1024,,,,1,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4194304,,,1,1
1,1,,,,,,,,,,,,,,,,,1048576,,1,,,,5242880,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,,,,,1,,3,3,3,3,3,3,,,,3,3,3,3,3,3,,1,1
1,1,,,,1280,1536,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1
1,1,,,268435456,,,,,,,,,,,,,,1048576,,1,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,1048576,1048576,1048576,,,,,1,,,,,,,,,,,,,,,,,,1,1
1,1,3,3,3,3,3,,,,,,3,3,3,3,3,,,,1,,,,,,,,,24576,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,,,1048576,,1,,,,,,,,,24576,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,24576,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,256,,,,1,,,,,,,,,24576,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,,,1048576,,1,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1
1,1,,1024,1792,,,,,,,,256,1280,,,,,,,1,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,,,1048576,,1,,,,805306368,,,,,,,,,,805306368,,,,1,1
1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,,,,,1,,,3,3,3,,,3,3,3,,,3,3,3,,,1,1
1,1,,,,,,,,,,,,,,,3,3,3,3,2,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,,3,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1
1,1,,,3,3,3,,,,,,3,3,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1
1,1,,,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1
1,1,,,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1
1,1,,,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1
1,1,,,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,24576,24576,,,,,,,,,,,,,,,,1,1
1,1,,,1,1,1,8192,8192,8192,8192,8192,1,1,1,1,1,1,1,1,1,24576,24576,,1073741824,,,,,,,1073741824,,,,,,,1,1
1,1,,,1,1,1,8192,8192,8192,8192,8192,1,1,1,1,1,1,1,1,1,24576,24576,,,,,,,,,,,,,,,,1,1
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24576,24576,,,,,,,,,,,,,,,,1,1
1,1,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,24576,24576,3,3,3,3,3,,,3,3,3,3,3,,,,1,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
1,1,,1792,,,,,,,,1792,,,,,,,,,1792,,,,,,,,,1792,,,,,,,768,,1,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536,,1,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24576,1,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24576,1,1
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24576,1,1
1,1,,,,,,,,,,,,,,,,536870912,,,,,,,,,,,,,,,,,,,3145728,24576,1,1
1,1,,,4096,4096,4096,4096,,,,,4096,4096,4096,4096,,,,,,4096,4096,4096,4096,,,,,,4096,4096,4096,4096,,,,24576,1,1
1,1,3,3,1,1,1,1,3,3,3,3,1,1,1,1,3,3,3,3,3,1,1,1,1,3,3,3,3,3,1,1,1,1,3,3,3,3,2,2
